epoch	host_time	pid	memavail_kb	total_pss_kb	total_rss_kb	gl_mtrack_kb	egl_mtrack_kb	swap_pss_kb
1783081674	05:27:54	30062	1984804					
1783081679	05:27:59	30062	1979528	296516	296112	53756	58140	90566
1783081685	05:28:05	30062	1995668					
1783081690	05:28:10	30062	1992092					
1783081695	05:28:15	30062	1992220					
1783081700	05:28:20	30062	1986600					
1783081705	05:28:25	30062	1984796					
1783081710	05:28:30	30062	1971700	296445	296388	53756	58140	90438
1783081716	05:28:36	30062	1973144					
1783081721	05:28:41	30062	1956832					
1783081726	05:28:46	30062	1954344					
1783081731	05:28:51	30062	1949536					
1783081736	05:28:56	30062	1948916					
1783081741	05:29:01	30062	1944328	296544	296504	53756	58140	90439
1783081747	05:29:07	30062	1949888					
1783081752	05:29:12	30062	1940772					
1783081757	05:29:17	30062	1945612					
1783081762	05:29:22	30062	1940548					
1783081767	05:29:27	30062	2009160					
1783081772	05:29:32	30062	2010612	296727	296720	53756	58140	90427
1783081778	05:29:38	30062	1944180					
1783081783	05:29:43	30062	1957020					
1783081788	05:29:48	30062	2065516					
1783081793	05:29:53	30062	2062744					
1783081798	05:29:58	30062	2060024					
1783081803	05:30:03	30062	2057736	296571	296580	53756	58140	90411
1783081809	05:30:09	30062	2039032					
1783081814	05:30:14	30062	2037376					
1783081819	05:30:19	30062	2030816					
1783081824	05:30:24	30062	2032120					
1783081829	05:30:29	30062	2029208					
1783081835	05:30:35	30062	2030772	300574	300592	57852	58140	90403
1783081840	05:30:40	30062	2028580					
1783081845	05:30:45	30062	2034236					
1783081850	05:30:50	30062	2034332					
1783081856	05:30:56	30062	2031736					
1783081861	05:31:01	30062	2028456					
1783081866	05:31:06	30062	2028260	300666	300924	57852	58140	90327
1783081871	05:31:11	30062	2032288					
1783081877	05:31:17	30062	2025756					
1783081882	05:31:22	30062	1945956					
1783081887	05:31:27	30062	1950068					
1783081892	05:31:32	30062	1926040					
1783081897	05:31:37	30062	1968932	301957	302644	57916	58140	90185
1783081903	05:31:43	30062	1969468					
1783081908	05:31:48	30062	1965144					
1783081913	05:31:53	30062	1966680					
1783081918	05:31:58	30062	1964312					
1783081923	05:32:03	30062	1963404					
1783081928	05:32:08	30062	1960444	296001	296720	53820	58140	90177
1783081934	05:32:14	30062	1939776					
1783081939	05:32:19	30062	1958644					
1783081944	05:32:24	30062	2001476					
1783081949	05:32:29	30062	1998484					
1783081954	05:32:34	30062	1997536					
1783081959	05:32:39	30062	1951664	373061	374320	53752	58140	89637
1783081965	05:32:45	30062	1273136					
1783081970	05:32:50	30062	1064908					
1783081975	05:32:55	30062	1070712					
1783081980	05:33:00	30062	1042492					
1783081985	05:33:05	30062	1041956					
1783081990	05:33:10	30062	1031748	2268645	2200036	1676844	58140	155600
1783081996	05:33:16	30062	1021092					
1783082001	05:33:21	30062	1009088					
1783082006	05:33:26	30062	1003444					
1783082011	05:33:31	30062	1000712					
1783082016	05:33:36	30062	996084					
1783082021	05:33:41	30062	1014984	2077641	2013600	1563800	58140	153531
1783082027	05:33:47	30062	1005244					
1783082032	05:33:52	30062	1007804					
1783082037	05:33:57	30062	993000					
1783082042	05:34:02	30062	985552					
1783082048	05:34:08	30062	981724					
1783082053	05:34:13	30062	984024	2070744	2007220	1559704	58140	153411
1783082058	05:34:18	30062	886600					
