epoch	time	thermal_status	battery_c	virtual_skin_c	skin_therm1_c	skin_therm2_c	neutral_c	quiet_c	disp_c	charger_skin_c	tpu_c	cellular_c	batt_level	cool_cpu0	cool_cpu1	cool_cpu2	cool_gpu	cool_tpu	note
1783084340	06:12:20	0	26.7	35.426003	38.962	38.339	32.217003	28.878002	28.144001	41.731003	49.000004	35.426003	75	0	0	0	0	2	
1783084356	06:12:36	0	26.800001	35.0133	38.428	38.161003	32.017002	28.990002	28.144001	42.991	61.000004	35.0133	75	0	0	0	0	2	
1783084371	06:12:51	0	26.900002	35.8647	40.142002	39.563004	32.195	29.034002	28.144001	44.800003	63.000004	35.8647	75	0	0	0	0	2	
1783084386	06:13:06	0	26.900002	36.196503	40.431004	39.786003	32.418003	29.012001	28.211	44.228	52.000004	36.196503	75	0	0	0	0	2	
1783084401	06:13:21	0	27.000002	35.175903	38.428	37.938004	32.24	29.123001	28.300001	41.158	53.000004	35.175903	75	0	0	0	0	2	
1783084416	06:13:36	0	27.2	35.35715	39.073	38.806004	32.151	29.19	28.322	43.197002	61.000004	35.35715	75	0	0	0	0	2	
1783084431	06:13:51	0	27.2	36.3529	40.792004	40.320004	32.462	29.235	28.322	45.676003	65.0	36.3529	75	0	0	0	0	2	
1783084446	06:14:06	0	27.2	35.88245	39.34	39.029003	32.596	29.235	28.389002	42.304	46.000004	35.88245	75	0	0	0	0	2	
1783084462	06:14:22	0	27.2	34.577103	37.048	37.137	32.151	29.235	28.411001	39.140003	41.000004	34.577103	75	0	0	0	0	2	
1783084477	06:14:37	0	27.2	33.2533	35.222	35.378002	31.438002	29.212002	28.455002	37.137	44.000004	33.2533	75	0	0	0	0	2	
1783084492	06:14:52	0	27.2	33.06525	35.311	35.044003	31.171001	29.101002	28.322	37.003002	46.000004	33.06525	75	0	0	0	0	2	
1783084507	06:15:07	0	27.500002	34.117252	37.537003	37.293003	31.216002	29.034002	28.277	41.708	59.000004	34.117252	74	0	0	0	0	2	
1783084522	06:15:22	0	27.400002	35.15	39.140003	38.717003	31.661001	29.034002	28.277	43.724003	62.000004	35.15	74	0	0	0	0	2	
1783084537	06:15:37	0	27.300001	35.64865	39.652	39.34	32.017002	29.123001	28.233002	43.953003	54.000004	35.64865	74	0	0	0	0	2	
1783084552	06:15:52	0	27.400002	34.984104	38.272003	37.916	31.95	29.168001	28.322	41.204002	55.000004	34.984104	74	0	0	0	0	2	
1783084568	06:16:08	0	27.500002	35.2835	39.118	38.828003	31.95	29.324001	28.344002	43.403004	62.000004	35.2835	74	0	0	0	0	2	
1783084583	06:16:23	0	27.400002	36.448	40.883003	40.453003	32.529003	29.368002	28.389002	45.748	61.000004	36.448	74	0	0	0	0	2	
1783084598	06:16:38	0	27.400002	36.21645	40.142002	39.496002	32.663002	29.390001	28.478	43.288002	52.000004	36.21645	74	0	0	0	0	2	
1783084613	06:16:53	0	27.300001	35.30675	38.628002	38.138	32.395	29.457	28.500002	41.273003	51.000004	35.30675	74	0	0	0	0	2	
1783084628	06:17:08	0	27.400002	34.807003	37.871002	37.404003	32.128002	29.435001	28.522001	40.320004	50.000004	34.807003	74	0	0	0	0	2	
1783084643	06:17:23	0	27.300001	34.696003	37.738003	37.493	31.995	29.390001	28.544	40.453003	49.000004	34.696003	74	0	0	0	0	2	
1783084658	06:17:38	0	27.400002	34.38565	37.315002	37.070004	31.817001	29.346	28.478	40.142002	49.000004	34.38565	74	0	0	0	0	2	
1783084674	06:17:54	0	27.400002	34.398655	37.448	36.847	31.772001	29.301	28.478	39.608	51.000004	34.398655	74	0	0	0	0	2	
1783084689	06:18:09	0	27.400002	34.64125	37.960003	37.293003	31.772001	29.235	28.455002	40.654003	50.000004	34.64125	74	0	0	0	0	2	
1783084704	06:18:24	0	27.400002	34.49005	37.604	37.181004	31.750002	29.235	28.344002	40.565002	49.000004	34.49005	74	0	0	0	0	2	
1783084719	06:18:39	0	27.500002	34.207253	37.114002	36.602	31.661001	29.168001	28.344002	39.541	49.000004	34.207253	74	0	0	0	0	2	
1783084734	06:18:54	0	27.500002	34.373047	37.27	37.849003	31.594002	29.168001	28.366001	42.006	47.000004	34.373047	74	0	0	0	0	2	
1783084749	06:19:09	0	27.500002	33.679752	35.890003	36.291	31.438002	29.101002	28.366001	38.65	50.000004	33.679752	74	0	0	0	0	2	
1783084764	06:19:24	0	27.400002	33.96355	36.825	36.892002	31.349	29.145	28.344002	40.053	48.000004	33.96355	74	0	0	0	0	2	
1783084780	06:19:40	0	27.300001	33.9592	36.981003	36.847	31.305002	29.212002	28.344002	40.342003	49.000004	33.9592	74	0	0	0	0	2	
1783084795	06:19:55	0	27.300001	33.999203	36.981003	36.625	31.349	29.079	28.255001	39.763	48.000004	33.999203	74	0	0	0	0	2	
1783084810	06:20:10	0	27.400002	34.718304	38.517002	38.272003	31.438002	29.168001	28.300001	43.243004	61.000004	34.718304	74	0	0	0	0	2	
1783084825	06:20:25	0	27.500002	35.67085	39.941	39.608	31.883001	29.279001	28.300001	44.846	64.0	35.67085	74	0	0	0	0	2	
1783084840	06:20:40	0	27.400002	35.523853	38.984	38.65	32.217003	29.212002	28.344002	42.029003	47.000004	35.523853	74	0	0	0	0	2	
1783084855	06:20:55	0	27.300001		38.205	38.072002	31.995	29.368002	28.478	41.685	53.000004		74	0	0	0	0	2	
1783084871	06:21:11	0	27.400002	34.690403	37.849003	37.471	31.861002	29.301	28.500002	40.186	49.000004	34.690403	74	0	0	0	0	2	
1783084886	06:21:26	0	27.500002	34.903053	38.406002	38.316	31.839	29.390001	28.500002	42.762	60.000004	34.903053	74	0	0	0	0	2	
1783084901	06:21:41	0	27.6	35.860302	40.120003	39.697002	32.195	29.368002	28.433	44.892002	64.0	35.860302	74	0	0	0	0	2	
1783084916	06:21:56	0	27.500002	35.798798	39.274002	38.984	32.484	29.413002	28.500002	42.326	50.000004	35.798798	74	0	0	0	0	2	
1783084931	06:22:11	0	27.400002	35.0288	38.094	37.782	32.262	29.435001	28.544	40.792004	48.000004	35.0288	74	0	0	0	0	2	
1783084946	06:22:26	0	27.6	34.7358	37.849003	37.782	31.972002	29.479002	28.589	41.616	60.000004	34.7358	74	0	0	0	0	2	
1783084962	06:22:42	0	27.6	35.9079	40.053	39.652	32.306	29.502	28.544	44.663002	62.000004	35.9079	74	0	0	0	0	2	
1783084977	06:22:57	0	27.6	36.3543	40.476	40.008003	32.640003	29.479002	28.589	44.594	55.000004	36.3543	74	0	0	0	0	2	
1783084992	06:23:12	0	27.500002	35.771152	39.296	38.673	32.640003	29.613	28.634	42.258003	53.000004	35.771152	74	0	0	0	0	2	
1783085007	06:23:27	0	27.6	35.999104	39.897003	39.697002	32.573	29.680002	28.678001	44.365	64.0	35.999104	74	0	0	0	0	2	
1783085022	06:23:42	0	27.7	36.869656	41.502003	41.067	32.818	29.702002	28.723001	46.655003	64.0	36.869656	73	0	0	0	0	0	
1783085037	06:23:57	0	27.6	36.829353	40.883003	40.164	33.175003	29.791002	28.723001	44.044003	53.000004	36.829353	73	0	0	0	0	0	
1783085052	06:24:12	0	27.7	36.147003	39.674004	39.296	32.996002	29.836002	28.834002	43.105003	52.000004	36.147003	73	0	0	0	0	0	
1783085067	06:24:27	0	27.7	35.38275	38.45	38.116	32.685	29.813002	28.812002	41.273003	52.000004	35.38275	73	0	0	0	0	0	
1783085083	06:24:43	0	27.7	35.183353	38.25	37.983	32.484	29.724	28.789001	41.296	49.000004	35.183353	73	0	0	0	0	0	
1783085098	06:24:58	0	27.7	34.9042	37.849003	37.537003	32.329002	29.747002	28.767002	40.565002	49.000004	34.9042	73	0	0	0	0	0	
1783085113	06:25:13	0	27.800001	34.525703	37.315002	36.892002	32.128002	29.635002	28.745	39.407	49.000004	34.525703	73	0	0	0	0	0	
1783085128	06:25:28	0	27.800001	34.51135	37.382	37.204002	32.017002	29.568	28.7	40.431004	48.000004	34.51135	73	0	0	0	0	0	
1783085143	06:25:43	0	27.800001	34.2629	37.025	36.803	31.861002	29.502	28.611002	39.919003	48.000004	34.2629	73	0	0	0	0	0	
1783085158	06:25:58	0	27.7	34.07495	36.758003	36.447002	31.750002	29.435001	28.544	39.229	48.000004	34.07495	73	0	0	0	0	0	
1783085173	06:26:13	0	27.7	34.067047	36.847	36.536003	31.683	29.368002	28.522001	39.229	47.000004	34.067047	73	0	0	0	0	0	
1783085189	06:26:29	0	27.7	33.9504	36.625	36.536003	31.572002	29.368002	28.500002	39.496002	48.000004	33.9504	73	0	0	0	0	0	
1783085204	06:26:44	0	27.6	33.8102	36.536003	36.113003	31.461002	29.301	28.433	38.539	47.000004	33.8102	73	0	0	0	0	0	
1783085219	06:26:59	0	27.6	33.821003	36.602	36.491	31.349	29.235	28.366001	39.741	48.000004	33.821003	73	0	0	0	0	0	
1783085234	06:27:14	0	27.500002	33.7331	36.38	36.291	31.349	29.235	28.411001	39.140003	49.000004	33.7331	73	0	0	0	0	0	
1783085249	06:27:29	0	27.500002	33.55875	36.18	35.957	31.216002	29.145	28.344002	39.073	47.000004	33.55875	73	0	0	0	0	0	
1783085264	06:27:44	0	27.500002	33.675354	36.424004	36.469	31.216002	29.123001	28.300001	39.741	49.000004	33.675354	73	0	0	0	0	0	
1783085279	06:27:59	0	27.400002	33.551952	36.202003	36.068	31.149002	29.101002	28.300001	38.984	48.000004	33.551952	73	0	0	0	0	0	
1783085295	06:28:15	0	27.500002	33.424854	36.046	35.757	31.104002	29.034002	28.233002	38.205	46.000004	33.424854	73	0	0	0	0	0	
1783085310	06:28:30	0	27.400002	33.54275	36.313004	36.313004	31.082	29.056002	28.255001	39.652	49.000004	33.54275	73	0	0	0	0	0	
1783085325	06:28:45	0	27.300001	33.51945	36.202003	36.135002	31.104002	28.990002	28.166002	39.429	48.000004	33.51945	73	0	0	0	0	0	
1783085340	06:29:00	0	27.300001	33.411503	36.024002	35.935	31.015001	28.967001	28.144001	38.784	47.000004	33.411503	73	0	0	0	0	0	
1783085355	06:29:15	0	27.300001	33.37365	36.001003	36.068	30.971	28.967001	28.122002	39.496002	47.000004	33.37365	73	0	0	0	0	0	
1783085370	06:29:30	0	27.300001	33.30165	35.935	35.668003	30.949001	28.878002	28.033	38.495003	48.000004	33.30165	73	0	0	0	0	0	
1783085385	06:29:45	0	27.2	33.2892	35.957	35.690002	30.904001	28.856	28.033	38.406002	46.000004	33.2892	73	0	0	0	0	0	
1783085401	06:30:01	0	27.1	33.248	35.935	35.935	30.815	28.856	28.055002	39.118	48.000004	33.248	73	0	0	0	0	0	
1783085416	06:30:16	0	27.1	33.191303	35.823	35.601	30.815	28.767002	28.033	38.183002	48.000004	33.191303	73	0	0	0	0	0	
1783085431	06:30:31	0	27.1	33.126503	35.757	35.512	30.770002	28.767002	27.988	38.361	46.000004	33.126503	73	0	0	0	0	0	
1783085446	06:30:46	0	27.000002	33.189854	35.868	35.801003	30.770002	28.745	28.010002	39.140003	49.000004	33.189854	73	0	0	0	0	0	
1783085461	06:31:01	0	27.000002		35.957	35.623	30.793001	28.723001	27.966002	38.495003	46.000004		73	0	0	0	0	0	
1783085476	06:31:16	0	27.000002	33.087753	35.757	35.467003	30.704002	28.723001	27.943	38.138	47.000004	33.087753	73	0	0	0	0	0	
1783085492	06:31:32	0	27.000002	32.939804	35.534	35.245003	30.637001	28.678001	27.877	38.138	49.000004	32.939804	73	0	0	0	0	0	
1783085507	06:31:47	0	26.900002	33.0376	35.690002	35.423	30.681002	28.634	27.810001	37.916	46.000004	33.0376	73	0	0	0	0	0	
1783085522	06:32:02	0	27.1	33.380604	36.491	36.38	30.704002	28.678001	27.810001	40.387	57.000004	33.380604	73	0	0	0	0	0	
1783085537	06:32:17	0	27.1	34.35755	38.138	37.871002	31.038002	28.723001	27.854002	42.785004	61.000004	34.35755	73	0	0	0	0	0	
1783085552	06:32:32	0	27.000002	35.647602	40.053	39.563004	31.683	28.812002	27.943	44.571003	57.000004	35.647602	73	0	0	0	0	0	
1783085567	06:32:47	0	26.900002	35.315952	39.118	38.45	31.861002	28.856	28.033	42.006	51.000004	35.315952	73	0	0	0	0	0	
1783085582	06:33:02	0	27.2	35.397152	39.519	39.162003	31.839	29.079	28.122002	44.319	63.000004	35.397152	73	0	0	0	0	0	
1783085598	06:33:18	0	27.1	36.33415	40.998	40.253002	32.262	29.168001	28.255001	45.414	64.0	36.33415	73	0	0	0	0	0	
1783085613	06:33:33	0	27.1	36.4825	40.883003	40.053	32.551003	29.19	28.277	44.594	53.000004	36.4825	73	0	0	0	0	0	
1783085628	06:33:48	0	27.1	35.506348	38.962	38.539	32.418003	29.324001	28.344002	41.891003	51.000004	35.506348	73	0	0	0	0	0	
1783085643	06:34:03	0	27.2	34.983105	38.138	37.649002	32.195	29.301	28.433	40.769	49.000004	34.983105	73	0	0	0	0	0	
1783085658	06:34:18	0	27.2	34.7184	37.738003	37.671	31.995	29.368002	28.455002	40.542004	48.000004	34.7184	73	0	0	0	0	0	
1783085673	06:34:33	0	27.300001	34.37545	37.204002	37.048	31.861002	29.279001	28.389002	40.453003	48.000004	34.37545	73	0	0	0	0	0	
1783085688	06:34:48	0	27.2	34.170605	37.003002	36.647003	31.683	29.235	28.411001	39.652	47.000004	34.170605	73	0	0	0	0	0	
1783085704	06:35:04	0	27.2	34.038105	36.914	36.669003	31.505001	29.168001	28.344002	39.496002	48.000004	34.038105	73	0	0	0	0	0	
1783085719	06:35:19	0	27.2	33.688602	36.113003	35.890003	31.438002	29.079	28.344002	38.116	39.0	33.688602	73	0	0	0	0	0	
1783085734	06:35:34	0	27.2	32.21725	33.642002	33.887	30.770002	28.990002	28.277	34.978	36.0	32.21725	73	0	0	0	0	0	
1783085749	06:35:49	0	27.2	31.477053	32.640003	32.93	30.325	28.856	28.188002	33.842003	35.0	31.477053	73	0	0	0	0	0	
1783085764	06:36:04	0	27.1	30.6305	31.550001	31.839	29.747002	28.656002	28.010002	32.663002	35.0	30.6305	73	0	0	0	0	0	
1783085779	06:36:19	0	27.1	30.911802	32.306	32.529003	29.613	28.389002	27.899002	34.154003	35.0	30.911802	73	0	0	0	0	0	
1783085794	06:36:34	0	27.2	30.6014	31.861002	32.173	29.413002	28.411001	27.765001	33.909	41.000004	30.6014	73	0	0	0	0	0	
1783085810	06:36:50	0	27.1	31.17435	33.085003	33.108	29.479002	28.322	27.721	35.957	48.000004	31.17435	73	0	0	0	0	0	
1783085825	06:37:05	0	27.000002	32.195103	34.933002	35.022003	29.724	28.255001	27.61	38.673	46.000004	32.195103	73	0	0	0	0	0	
1783085840	06:37:20	0	26.7	32.576954	35.49	34.955	30.036001	28.255001	27.543001	37.916	48.000004	32.576954	73	0	0	0	0	0	
1783085855	06:37:35	0	26.7	33.02535	36.202003	35.979	30.192001	28.300001	27.587002	39.808002	47.000004	33.02535	73	0	0	0	0	0	
1783085871	06:37:51	0	26.7	32.945152	35.823	35.289	30.392002	28.300001	27.654001	38.205	50.000004	32.945152	73	0	0	0	0	0	
1783085886	06:38:06	0	26.7	33.54945	37.003002	36.758003	30.459002	28.455002	27.743002	41.227	55.000004	33.54945	73	0	0	0	0	0	
1783085901	06:38:21	0	26.7	34.139503	37.894	37.293003	30.815	28.478	27.765001	41.09	52.000004	34.139503	73	0	0	0	0	0	
1783085916	06:38:36	0	26.7	34.167355	37.827003	36.647003	31.082	28.567001	27.810001	40.030003	52.000004	34.167355	73	0	0	0	0	0	
1783085931	06:38:51	0	26.7	33.96235	37.315002	36.313004	31.104002	28.589	27.832	39.274002	51.000004	33.96235	73	0	0	0	0	0	
1783085946	06:39:06	0	26.6	34.0428	37.493	36.892002	31.060001	28.678001	27.832	40.587	51.000004	34.0428	73	0	0	0	0	0	
1783085962	06:39:22	0	26.7	33.9415	37.204002	36.313004	31.171001	28.611002	27.877	39.140003	50.000004	33.9415	73	0	0	0	0	0	
1783085977	06:39:37	0	26.7	33.7386	36.914	35.868	31.082	28.656002	27.943	38.561	49.000004	33.7386	73	0	0	0	0	0	
