name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
left_chest_vent_black,eye_lip_detail,face_detail,5.0,8.0,48.0,1.92,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_chest_vent_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_chest_vent_black.step,primitive,,torso_collision.stl
right_chest_vent_black,eye_lip_detail,face_detail,5.0,8.0,48.0,1.92,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_chest_vent_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_chest_vent_black.step,primitive,,torso_collision.stl
rear_back_spine_plate,orange_armor,armor,23.0,76.0,216.0,255.1,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_back_spine_plate.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/rear_back_spine_plate.step,parametric_loft,,torso_collision.stl;waist_yaw_link.STL
rear_spine_black_channel,eye_lip_detail,face_detail,8.0,24.0,184.0,35.33,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_spine_black_channel.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/rear_spine_black_channel.step,primitive,,torso_collision.stl
rear_left_back_cut_black,eye_lip_detail,face_detail,6.0,8.0,160.0,7.68,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_left_back_cut_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/rear_left_back_cut_black.step,primitive,,torso_collision.stl
rear_right_back_cut_black,eye_lip_detail,face_detail,6.0,8.0,160.0,7.68,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_right_back_cut_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/rear_right_back_cut_black.step,primitive,,torso_collision.stl
torso_abdomen_black,black_underbody,underbody,50.0,44.0,82.0,113.54,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/torso_abdomen_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/torso_abdomen_black.step,parametric_loft,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
abdomen_center_armor,orange_armor,armor,4.8,18.0,60.0,3.42,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_center_armor.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_center_armor.step,parametric_loft,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
abdomen_panel_rib_1,eye_lip_detail,face_detail,6.0,112.0,10.0,6.72,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_panel_rib_1.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_panel_rib_1.step,primitive,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
abdomen_panel_rib_2,eye_lip_detail,face_detail,6.0,84.0,10.0,5.04,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_panel_rib_2.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_panel_rib_2.step,primitive,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
pelvis_front_shell,orange_armor,armor,86.0,94.0,100.0,500.31,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/pelvis_front_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/pelvis_front_shell.step,parametric_loft,,pelvis_link.STL
pelvis_center_plate,orange_armor,armor,6.8,28.0,56.0,6.82,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/pelvis_center_plate.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/pelvis_center_plate.step,parametric_loft,,pelvis_link.STL
pelvis_lower_nose_plate,orange_armor,armor,28.0,28.0,108.0,49.17,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/pelvis_lower_nose_plate.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/pelvis_lower_nose_plate.step,parametric_loft,,pelvis_link.STL
rear_seat_bridge_armor,orange_armor,armor,20.0,90.0,20.0,22.93,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_seat_bridge_armor.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/rear_seat_bridge_armor.step,parametric_loft,,pelvis_link.STL
left_rear_hip_fairing,orange_armor,armor,40.0,30.0,56.0,42.86,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_rear_hip_fairing.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_rear_hip_fairing.step,parametric_loft,,pelvis_link.STL
right_rear_hip_fairing,orange_armor,armor,28.0,20.0,48.0,17.32,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_rear_hip_fairing.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_rear_hip_fairing.step,parametric_loft,,pelvis_link.STL
left_rear_glute_armor_skin,orange_armor,armor,3.6,22.0,40.0,1.97,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_rear_glute_armor_skin.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_rear_glute_armor_skin.step,parametric_loft,,pelvis_link.STL
right_rear_glute_armor_skin,orange_armor,armor,3.6,22.0,40.0,1.97,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_rear_glute_armor_skin.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_rear_glute_armor_skin.step,parametric_loft,,pelvis_link.STL
